Production Record No;Company;Customer;Start Date;End Date;Production No;Recipe No;Receipt;Reçete;Quantity;Quantity to be produced;Return concrete;Return concrete note;Order Code;Jobsite;Driver;Ek Madde;Ek Maddenin Miktarı;Ek Madde 2;Ek Maddenin Miktarı 2;Nakliyat Bölgesi;Vehicle;Agg1;Agg2;Agg3;Agg4;Agg5;Agg6;Cem1;Cem2;Cem3;Cem4;Add1;Add2;Add3;Add4;Add5;Wat1;Wat2;Extra Water1;Extra Water2;Statu;Agg1Girilen Hata;Agg1Hesaplanan Hata;Agg2Girilen Hata;Agg2Hesaplanan Hata;Agg3Girilen Hata;Agg3Hesaplanan Hata;Agg4Girilen Hata;Agg4Hesaplanan Hata;Cem1Girilen Hata;Cem1Hesaplanan Hata;Cem2Girilen Hata;Cem2Hesaplanan Hata;Cem3Girilen Hata;Cem3Hesaplanan Hata;Cem4Girilen Hata;Cem4Hesaplanan Hata;Add1Girilen Hata;Add1Hesaplanan Hata;Add2Girilen Hata;Add2Hesaplanan Hata;Add3Girilen Hata;Add3Hesaplanan Hata;Add4Girilen Hata;Add4Hesaplanan Hata;Wa1Girilen Hata;Wa1Hesaplanan Hata;Wa2Girilen Hata;Wa2Hesaplanan Hata;Ag1YuzdeFark;Ag2YuzdeFark;Ag3YuzdeFark;Ag4YuzdeFark;Cim1YuzdeFark;Cim2YuzdeFark;Cim3YuzdeFark;Cim4YuzdeFark;Kat1YuzdeFark;Kat2YuzdeFark;Kat3YuzdeFark;Kat4YuzdeFark;Su1YuzdeFark;Su2YuzdeFark
71256;BAUPARTNER;PRECAST CONCRETE;04/02/2026  09:17;04/02/2026  09:19;71529;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;352,00;487,00;754,00;315,00;0,00;0,00;0,00;450,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;122,00;0,00;0;0;2;2,00;-2,22;2,00;-2,79;2,00;0,53;2,00;16,67;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-2,22;-2,79;0,53;16,67;0,00;0,00;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71255;BAUPARTNER;PRECAST CONCRETE;04/02/2026  09:08;04/02/2026  09:10;71528;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;348,00;520,00;737,00;229,00;0,00;0,00;0,00;442,00;0,00;0,00;2,05;0,00;0,00;0,00;0,00;123,00;0,00;0;0;2;2,00;-3,33;2,00;4,00;2,00;-1,73;2,00;-15,19;1,00;0,00;1,00;-1,78;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-3,33;4,00;-1,73;-15,19;0,00;-1,78;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71254;BAUPARTNER;PRECAST CONCRETE;04/02/2026  08:57;04/02/2026  09:00;71527;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;372,00;500,00;741,00;312,00;0,00;0,00;0,00;453,00;0,00;0,00;2,05;0,00;0,00;0,00;0,00;124,00;0,00;0;0;2;2,00;3,33;2,00;-0,40;2,00;-1,20;2,00;15,56;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;3,33;-0,40;-1,20;15,56;0,00;0,67;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71253;BAUPARTNER;PRECAST CONCRETE;04/02/2026  08:50;04/02/2026  08:52;71526;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;356,00;493,00;738,00;241,00;0,00;0,00;0,00;452,00;0,00;0,00;1,90;0,00;0,00;0,00;0,00;122,00;0,00;0;0;2;2,00;-1,11;2,00;-1,60;2,00;-1,60;2,00;-10,74;1,00;0,00;1,00;0,44;1,00;0,00;1,00;0,00;1,00;-99,51;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-1,11;-1,60;-1,60;-10,74;0,00;0,44;0,00;0,00;-99,51;0,00;0,00;0,00;0,00;0,00
71252;BAUPARTNER;PRECAST CONCRETE;04/02/2026  08:41;04/02/2026  08:43;71525;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;357,00;544,00;756,00;301,00;0,00;0,00;0,00;451,00;0,00;0,00;2,07;0,00;0,00;0,00;0,00;124,00;0,00;0;0;2;2,00;-0,83;2,00;8,58;2,00;0,80;2,00;11,48;1,00;0,00;1,00;0,22;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-0,83;8,58;0,80;11,48;0,00;0,22;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71251;BAUPARTNER;PRECAST CONCRETE;04/02/2026  08:33;04/02/2026  08:35;71524;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;353,00;453,00;824,00;240,00;0,00;0,00;0,00;449,00;0,00;0,00;2,03;0,00;0,00;0,00;0,00;124,00;0,00;0;0;2;2,00;-1,94;2,00;-9,58;2,00;9,87;2,00;-11,11;1,00;0,00;1,00;-0,22;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-1,94;-9,58;9,87;-11,11;0,00;-0,22;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71250;BAUPARTNER;PRECAST CONCRETE;04/02/2026  08:24;04/02/2026  08:26;71523;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;339,00;495,00;752,00;283,00;0,00;0,00;0,00;445,00;0,00;0,00;2,02;0,00;0,00;0,00;0,00;125,00;0,00;0;0;2;2,00;-5,83;2,00;-1,59;2,00;0,27;2,00;4,81;1,00;0,00;1,00;-1,11;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-5,83;-1,59;0,27;4,81;0,00;-1,11;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71249;BAUPARTNER;PRECAST CONCRETE;04/02/2026  08:08;04/02/2026  08:10;71522;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;392,00;513,00;759,00;242,00;0,00;0,00;0,00;452,00;0,00;0,00;1,89;0,00;0,00;0,00;0,00;122,00;0,00;0;0;2;2,00;8,89;2,00;1,99;2,00;1,20;2,00;-10,37;1,00;0,00;1,00;0,44;1,00;0,00;1,00;0,00;1,00;-99,52;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-0,81;1,00;0,00;8,89;1,99;1,20;-10,37;0,00;0,44;0,00;0,00;-99,52;0,00;0,00;0,00;-0,81;0,00
71248;BAUPARTNER;PRECAST CONCRETE;04/02/2026  07:59;04/02/2026  08:01;71521;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;334,00;522,00;714,00;299,00;0,00;0,00;0,00;451,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;123,00;0,00;0;0;2;2,00;-7,22;2,00;3,78;2,00;-4,80;2,00;10,74;1,00;0,00;1,00;0,22;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-7,22;3,78;-4,80;10,74;0,00;0,22;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71247;BAUPARTNER;PRECAST CONCRETE;04/02/2026  07:49;04/02/2026  07:51;71520;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;375,00;478,00;691,00;248,00;0,00;0,00;0,00;456,00;0,00;0,00;2,19;0,00;0,00;0,00;0,00;121,00;0,00;0;0;2;2,00;4,17;2,00;-4,97;2,00;-7,87;2,00;-8,15;1,00;0,00;1,00;1,33;1,00;0,00;1,00;0,00;1,00;-99,44;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;4,17;-4,97;-7,87;-8,15;0,00;1,33;0,00;0,00;-99,44;0,00;0,00;0,00;0,00;0,00
71246;BAUPARTNER;PRECAST CONCRETE;04/02/2026  07:40;04/02/2026  07:42;71519;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;377,00;538,00;749,00;298,00;0,00;0,00;0,00;450,00;0,00;0,00;1,88;0,00;0,00;0,00;0,00;117,00;0,00;0;0;2;2,00;4,72;2,00;6,96;2,00;-0,13;2,00;10,37;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,52;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;4,72;6,96;-0,13;10,37;0,00;0,00;0,00;0,00;-99,52;0,00;0,00;0,00;0,00;0,00
71245;BAUPARTNER;PRECAST CONCRETE;04/02/2026  07:32;04/02/2026  07:34;71518;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;340,00;466,00;778,00;271,00;0,00;0,00;0,00;448,00;0,00;0,00;2,09;0,00;0,00;0,00;0,00;115,00;0,00;0;0;2;2,00;-5,56;2,00;-7,54;2,00;3,73;2,00;0,37;1,00;0,00;1,00;-0,44;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-5,56;-7,54;3,73;0,37;0,00;-0,44;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71244;BAUPARTNER;PRECAST CONCRETE;04/02/2026  07:24;04/02/2026  07:26;71517;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;363,00;532,00;750,00;254,00;0,00;0,00;0,00;452,00;0,00;0,00;1,97;0,00;0,00;0,00;0,00;111,00;0,00;0;0;2;2,00;0,83;2,00;5,77;2,00;0,00;2,00;-5,93;1,00;0,00;1,00;0,44;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,83;5,77;0,00;-5,93;0,00;0,44;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71243;BAUPARTNER;PRECAST CONCRETE;04/02/2026  07:15;04/02/2026  07:17;71516;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;362,00;502,00;759,00;261,00;0,00;0,00;0,00;450,00;0,00;0,00;1,93;0,00;0,00;0,00;0,00;107,00;0,00;0;0;2;2,00;0,56;2,00;-0,20;2,00;1,20;2,00;-3,33;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,51;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,56;-0,20;1,20;-3,33;0,00;0,00;0,00;0,00;-99,51;0,00;0,00;0,00;0,00;0,00
71242;BAUPARTNER;PRECAST CONCRETE;04/02/2026  07:07;04/02/2026  07:09;71515;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;357,00;504,00;718,00;324,00;0,00;0,00;0,00;447,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;71,00;0,00;0;0;2;2,00;-0,83;2,00;0,00;2,00;-4,27;2,00;20,00;1,00;0,00;1,00;-0,67;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-1,39;1,00;0,00;-0,83;0,00;-4,27;20,00;0,00;-0,67;0,00;0,00;-99,49;0,00;0,00;0,00;-1,39;0,00
71241;BAUPARTNER;PRECAST CONCRETE;03/02/2026  13:02;03/02/2026  13:05;71514;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;329,00;484,00;747,00;234,00;0,00;0,00;0,00;449,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;118,00;0,00;0;0;2;2,00;-8,61;2,00;-3,78;2,00;-0,40;2,00;-13,33;1,00;0,00;1,00;-0,22;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-8,61;-3,78;-0,40;-13,33;0,00;-0,22;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71240;BAUPARTNER;PRECAST CONCRETE;03/02/2026  12:51;03/02/2026  12:53;71513;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;400,00;520,00;733,00;308,00;0,00;0,00;0,00;453,00;0,00;0,00;2,03;0,00;0,00;0,00;0,00;118,00;0,00;0;0;2;2,00;11,11;2,00;3,38;2,00;-2,27;2,00;14,07;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;11,11;3,38;-2,27;14,07;0,00;0,67;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71239;BAUPARTNER;PRECAST CONCRETE;03/02/2026  12:41;03/02/2026  12:43;71512;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;332,00;476,00;854,00;198,00;0,00;0,00;0,00;445,00;0,00;0,00;1,93;0,00;0,00;0,00;0,00;119,00;0,00;0;0;2;2,00;-7,78;2,00;-5,37;2,00;13,87;2,00;-26,67;1,00;0,00;1,00;-1,11;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-7,78;-5,37;13,87;-26,67;0,00;-1,11;0,00;0,00;-99,50;0,00;0,00;0,00;0,00;0,00
71238;BAUPARTNER;PRECAST CONCRETE;03/02/2026  12:32;03/02/2026  12:34;71511;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;389,00;532,00;687,00;267,00;0,00;0,00;0,00;450,00;0,00;0,00;2,12;0,00;0,00;0,00;0,00;119,00;0,00;0;0;2;2,00;8,06;2,00;5,98;2,00;-8,40;2,00;-1,11;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,45;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;8,06;5,98;-8,40;-1,11;0,00;0,00;0,00;0,00;-99,45;0,00;0,00;0,00;0,00;0,00
71237;BAUPARTNER;PRECAST CONCRETE;03/02/2026  12:22;03/02/2026  12:24;71510;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;338,00;467,00;732,00;280,00;0,00;0,00;0,00;451,00;0,00;0,00;1,92;0,00;0,00;0,00;0,00;120,00;0,00;0;0;2;2,00;-6,11;2,00;-7,16;2,00;-2,40;2,00;3,70;1,00;0,00;1,00;0,22;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-6,11;-7,16;-2,40;3,70;0,00;0,22;0,00;0,00;-99,50;0,00;0,00;0,00;0,00;0,00
71236;BAUPARTNER;PRECAST CONCRETE;03/02/2026  12:12;03/02/2026  12:14;71509;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;363,00;534,00;737,00;270,00;0,00;0,00;0,00;451,00;0,00;0,00;2,09;0,00;0,00;0,00;0,00;119,00;0,00;0;0;2;2,00;0,83;2,00;6,37;2,00;-1,73;2,00;0,00;1,00;0,00;1,00;0,22;1,00;0,00;1,00;0,00;1,00;-99,46;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,83;6,37;-1,73;0,00;0,00;0,22;0,00;0,00;-99,46;0,00;0,00;0,00;0,00;0,00
71235;BAUPARTNER;PRECAST CONCRETE;03/02/2026  12:03;03/02/2026  12:05;71508;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;385,00;503,00;762,00;269,00;0,00;0,00;0,00;450,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;120,00;0,00;0;0;2;2,00;6,94;2,00;0,20;2,00;1,60;2,00;-0,37;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;6,94;0,20;1,60;-0,37;0,00;0,00;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71234;BAUPARTNER;PRECAST CONCRETE;03/02/2026  11:54;03/02/2026  11:57;71507;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;351,00;497,00;727,00;261,00;0,00;0,00;0,00;453,00;0,00;0,00;1,91;0,00;0,00;0,00;0,00;120,00;0,00;0;0;2;2,00;-2,50;2,00;-1,19;2,00;-3,07;2,00;-3,33;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,51;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-2,50;-1,19;-3,07;-3,33;0,00;0,67;0,00;0,00;-99,51;0,00;0,00;0,00;0,00;0,00
71233;BAUPARTNER;PRECAST CONCRETE;03/02/2026  11:46;03/02/2026  11:48;71506;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;351,00;499,00;781,00;294,00;0,00;0,00;0,00;442,00;0,00;0,00;2,13;0,00;0,00;0,00;0,00;119,00;0,00;0;0;2;2,00;-2,50;2,00;-0,80;2,00;4,13;2,00;8,89;1,00;0,00;1,00;-1,78;1,00;0,00;1,00;0,00;1,00;-99,45;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-2,50;-0,80;4,13;8,89;0,00;-1,78;0,00;0,00;-99,45;0,00;0,00;0,00;0,00;0,00
71232;BAUPARTNER;PRECAST CONCRETE;03/02/2026  11:37;03/02/2026  11:39;71505;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;351,00;495,00;730,00;245,00;0,00;0,00;0,00;453,00;0,00;0,00;1,82;0,00;0,00;0,00;0,00;119,00;0,00;0;0;2;2,00;-2,50;2,00;-1,59;2,00;-2,67;2,00;-9,26;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,53;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-2,50;-1,59;-2,67;-9,26;0,00;0,67;0,00;0,00;-99,53;0,00;0,00;0,00;0,00;0,00
71231;BAUPARTNER;PRECAST CONCRETE;03/02/2026  11:29;03/02/2026  11:32;71504;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;366,00;502,00;753,00;281,00;0,00;0,00;0,00;453,00;0,00;0,00;2,16;0,00;0,00;0,00;0,00;119,00;0,00;0;0;2;2,00;1,67;2,00;-0,20;2,00;0,40;2,00;4,07;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,45;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,67;-0,20;0,40;4,07;0,00;0,67;0,00;0,00;-99,45;0,00;0,00;0,00;0,00;0,00
71230;BAUPARTNER;PRECAST CONCRETE;03/02/2026  11:22;03/02/2026  11:24;71503;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;370,00;494,00;737,00;288,00;0,00;0,00;0,00;453,00;0,00;0,00;1,92;0,00;0,00;0,00;0,00;118,00;0,00;0;0;2;2,00;2,78;2,00;-1,79;2,00;-1,73;2,00;6,67;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,51;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;2,78;-1,79;-1,73;6,67;0,00;0,67;0,00;0,00;-99,51;0,00;0,00;0,00;0,00;0,00
71229;BAUPARTNER;PRECAST CONCRETE;03/02/2026  11:03;03/02/2026  11:05;71502;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;359,00;500,00;755,00;264,00;0,00;0,00;0,00;449,00;0,00;0,00;2,03;0,00;0,00;0,00;0,00;118,00;0,00;0;0;2;2,00;-0,28;2,00;-0,60;2,00;0,67;2,00;-2,22;1,00;0,00;1,00;-0,22;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-0,28;-0,60;0,67;-2,22;0,00;-0,22;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71228;BAUPARTNER;PRECAST CONCRETE;03/02/2026  10:53;03/02/2026  10:55;71501;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;373,00;546,00;749,00;269,00;0,00;0,00;0,00;451,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;118,00;0,00;0;0;2;2,00;3,61;2,00;8,76;2,00;-0,13;2,00;-0,37;1,00;0,00;1,00;0,22;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;3,61;8,76;-0,13;-0,37;0,00;0,22;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71227;BAUPARTNER;PRECAST CONCRETE;03/02/2026  10:44;03/02/2026  10:46;71500;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;351,00;496,00;778,00;266,00;0,00;0,00;0,00;449,00;0,00;0,00;1,95;0,00;0,00;0,00;0,00;122,00;0,00;0;0;2;2,00;-2,50;2,00;-1,20;2,00;3,73;2,00;-1,48;1,00;0,00;1,00;-0,22;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-2,50;-1,20;3,73;-1,48;0,00;-0,22;0,00;0,00;-99,50;0,00;0,00;0,00;0,00;0,00
71226;BAUPARTNER;PRECAST CONCRETE;03/02/2026  10:35;03/02/2026  10:37;71499;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;363,00;472,00;747,00;252,00;0,00;0,00;0,00;451,00;0,00;0,00;2,11;0,00;0,00;0,00;0,00;121,00;0,00;0;0;2;2,00;0,83;2,00;-6,16;2,00;-0,40;2,00;-6,67;1,00;0,00;1,00;0,22;1,00;0,00;1,00;0,00;1,00;-99,46;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-0,82;1,00;0,00;0,83;-6,16;-0,40;-6,67;0,00;0,22;0,00;0,00;-99,46;0,00;0,00;0,00;-0,82;0,00
71225;BAUPARTNER;PRECAST CONCRETE;03/02/2026  10:27;03/02/2026  10:29;71498;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;331,00;506,00;759,00;286,00;0,00;0,00;0,00;445,00;0,00;0,00;2,03;0,00;0,00;0,00;0,00;112,00;0,00;0;0;2;2,00;-8,06;2,00;0,60;2,00;1,20;2,00;5,93;1,00;0,00;1,00;-1,11;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-8,06;0,60;1,20;5,93;0,00;-1,11;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71224;BAUPARTNER;PRECAST CONCRETE;03/02/2026  10:18;03/02/2026  10:20;71497;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;386,00;518,00;762,00;256,00;0,00;0,00;0,00;447,00;0,00;0,00;2,03;0,00;0,00;0,00;0,00;72,00;0,00;0;0;2;2,00;7,22;2,00;2,98;2,00;1,60;2,00;-5,19;1,00;0,00;1,00;-0,67;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;7,22;2,98;1,60;-5,19;0,00;-0,67;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71223;BAUPARTNER;PRECAST CONCRETE;02/02/2026  12:51;02/02/2026  12:53;71496;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;0,60;0,60;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;187,00;272,00;413,00;224,00;0,00;0,00;0,00;278,00;0,00;0,00;1,19;0,00;0,00;0,00;0,00;70,00;0,00;0;0;2;2,00;-13,43;2,00;-9,93;2,00;-8,22;2,00;38,27;1,00;0,00;1,00;2,96;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-13,43;-9,93;-8,22;38,27;0,00;2,96;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71222;BAUPARTNER;PRECAST CONCRETE;02/02/2026  12:40;02/02/2026  12:43;71495;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;374,00;511,00;857,00;256,00;0,00;0,00;0,00;450,00;0,00;0,00;1,88;0,00;0,00;0,00;0,00;116,00;0,00;0;0;2;2,00;3,89;2,00;1,59;2,00;14,27;2,00;-5,19;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,51;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;3,89;1,59;14,27;-5,19;0,00;0,00;0,00;0,00;-99,51;0,00;0,00;0,00;0,00;0,00
