Production Record No;Company;Customer;Start Date;End Date;Production No;Recipe No;Receipt;Reçete;Quantity;Quantity to be produced;Return concrete;Return concrete note;Order Code;Jobsite;Driver;Ek Madde;Ek Maddenin Miktarı;Ek Madde 2;Ek Maddenin Miktarı 2;Nakliyat Bölgesi;Vehicle;Agg1;Agg2;Agg3;Agg4;Agg5;Agg6;Cem1;Cem2;Cem3;Cem4;Add1;Add2;Add3;Add4;Add5;Wat1;Wat2;Extra Water1;Extra Water2;Statu;Agg1Girilen Hata;Agg1Hesaplanan Hata;Agg2Girilen Hata;Agg2Hesaplanan Hata;Agg3Girilen Hata;Agg3Hesaplanan Hata;Agg4Girilen Hata;Agg4Hesaplanan Hata;Cem1Girilen Hata;Cem1Hesaplanan Hata;Cem2Girilen Hata;Cem2Hesaplanan Hata;Cem3Girilen Hata;Cem3Hesaplanan Hata;Cem4Girilen Hata;Cem4Hesaplanan Hata;Add1Girilen Hata;Add1Hesaplanan Hata;Add2Girilen Hata;Add2Hesaplanan Hata;Add3Girilen Hata;Add3Hesaplanan Hata;Add4Girilen Hata;Add4Hesaplanan Hata;Wa1Girilen Hata;Wa1Hesaplanan Hata;Wa2Girilen Hata;Wa2Hesaplanan Hata;Ag1YuzdeFark;Ag2YuzdeFark;Ag3YuzdeFark;Ag4YuzdeFark;Cim1YuzdeFark;Cim2YuzdeFark;Cim3YuzdeFark;Cim4YuzdeFark;Kat1YuzdeFark;Kat2YuzdeFark;Kat3YuzdeFark;Kat4YuzdeFark;Su1YuzdeFark;Su2YuzdeFark
71360;BAUPARTNER;PRECAST CONCRETE;09/02/2026  12:07;09/02/2026  12:09;71633;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;343,00;513,00;761,00;264,00;0,00;0,00;0,00;447,00;0,00;0,00;2,02;0,00;0,00;0,00;0,00;121,00;0,00;0;0;2;2,00;-4,72;2,00;2,60;2,00;1,47;2,00;-2,22;1,00;0,00;1,00;-0,67;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-4,72;2,60;1,47;-2,22;0,00;-0,67;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71359;BAUPARTNER;PRECAST CONCRETE;09/02/2026  11:54;09/02/2026  12:00;71632;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;363,00;502,00;801,00;267,00;0,00;0,00;0,00;444,00;0,00;0,00;1,95;0,00;0,00;0,00;0,00;121,00;0,00;0;0;2;2,00;0,83;2,00;0,20;2,00;6,80;2,00;-1,11;1,00;0,00;1,00;-1,33;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,83;0,20;6,80;-1,11;0,00;-1,33;0,00;0,00;-99,50;0,00;0,00;0,00;0,00;0,00
71358;BAUPARTNER;PRECAST CONCRETE;09/02/2026  11:45;09/02/2026  11:47;71631;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;380,00;490,00;697,00;256,00;0,00;0,00;0,00;452,00;0,00;0,00;2,03;0,00;0,00;0,00;0,00;121,00;0,00;0;0;2;2,00;5,56;2,00;-2,20;2,00;-7,07;2,00;-5,19;1,00;0,00;1,00;0,44;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;5,56;-2,20;-7,07;-5,19;0,00;0,44;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71357;BAUPARTNER;PRECAST CONCRETE;09/02/2026  11:34;09/02/2026  11:37;71630;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;352,00;507,00;747,00;298,00;0,00;0,00;0,00;459,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;119,00;0,00;0;0;2;2,00;-2,22;2,00;1,40;2,00;-0,40;2,00;10,37;1,00;0,00;1,00;2,00;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-2,22;1,40;-0,40;10,37;0,00;2,00;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71356;BAUPARTNER;PRECAST CONCRETE;09/02/2026  11:24;09/02/2026  11:27;71629;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;325,00;493,00;753,00;246,00;0,00;0,00;0,00;440,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;119,00;0,00;0;0;2;2,00;-9,72;2,00;-1,40;2,00;0,40;2,00;-8,89;1,00;0,00;1,00;-2,22;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-0,83;1,00;0,00;-9,72;-1,40;0,40;-8,89;0,00;-2,22;0,00;0,00;-99,49;0,00;0,00;0,00;-0,83;0,00
71355;BAUPARTNER;PRECAST CONCRETE;09/02/2026  11:15;09/02/2026  11:18;71628;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;385,00;503,00;736,00;246,00;0,00;0,00;0,00;450,00;0,00;0,00;1,99;0,00;0,00;0,00;0,00;120,00;0,00;0;0;2;2,00;6,94;2,00;0,80;2,00;-1,87;2,00;-8,89;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;6,94;0,80;-1,87;-8,89;0,00;0,00;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71354;BAUPARTNER;PRECAST CONCRETE;09/02/2026  10:59;09/02/2026  11:02;71627;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;338,00;476,00;768,00;296,00;0,00;0,00;0,00;450,00;0,00;0,00;2,05;0,00;0,00;0,00;0,00;121,00;0,00;0;0;2;2,00;-6,11;2,00;-4,80;2,00;2,40;2,00;9,63;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-6,11;-4,80;2,40;9,63;0,00;0,00;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71353;BAUPARTNER;PRECAST CONCRETE;09/02/2026  10:48;09/02/2026  10:50;71626;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;375,00;514,00;746,00;239,00;0,00;0,00;0,00;452,00;0,00;0,00;2,01;0,00;0,00;0,00;0,00;116,00;0,00;0;0;2;2,00;4,17;2,00;2,59;2,00;-0,53;2,00;-11,48;1,00;0,00;1,00;0,44;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,87;1,00;0,00;4,17;2,59;-0,53;-11,48;0,00;0,44;0,00;0,00;-99,48;0,00;0,00;0,00;0,87;0,00
71352;BAUPARTNER;PRECAST CONCRETE;09/02/2026  10:38;09/02/2026  10:40;71625;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;383,00;492,00;768,00;276,00;0,00;0,00;0,00;449,00;0,00;0,00;2,02;0,00;0,00;0,00;0,00;84,00;0,00;0;0;2;2,00;6,39;2,00;-1,80;2,00;2,40;2,00;2,22;1,00;0,00;1,00;-0,22;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;6,39;-1,80;2,40;2,22;0,00;-0,22;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71351;BAUPARTNER;PRECAST CONCRETE;07/02/2026  14:57;07/02/2026  14:59;71624;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;0,60;0,60;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;191,00;314,00;436,00;201,00;0,00;0,00;0,00;270,00;0,00;0,00;1,16;0,00;0,00;0,00;0,00;77,00;0,00;0;0;2;2,00;-11,57;2,00;4,67;2,00;-3,11;2,00;24,07;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-1,28;1,00;0,00;-11,57;4,67;-3,11;24,07;0,00;0,00;0,00;0,00;-99,50;0,00;0,00;0,00;-1,28;0,00
